FPR,TPR,Thresholds
0.0,0.0,inf
0.0,0.0625,0.995392203540812
0.0,0.875,0.7045930667199478
0.1111111111111111,0.875,0.6659092929464533
0.1111111111111111,1.0,0.4694265114263744
0.7777777777777778,1.0,0.00903614371528491
1.0,1.0,0.008089174018315213
