FPR,TPR
0.0,0.0
0.0,0.0625
0.1111111111111111,0.0625
0.1111111111111111,0.25
0.2222222222222222,0.25
0.2222222222222222,0.375
0.3333333333333333,0.375
0.3333333333333333,0.4375
0.4444444444444444,0.4375
0.4444444444444444,0.625
0.5555555555555556,0.625
0.5555555555555556,0.75
0.6666666666666666,0.75
0.6666666666666666,0.8125
0.7777777777777778,0.8125
0.7777777777777778,0.875
1.0,0.875
1.0,1.0
