true_label,probability,prediction
1,7.607280849697418e-08,0
0,0.9957406520843506,1
1,1.0028250799209992e-11,0
0,0.0,0
1,5.188228209071911e-16,0
0,0.0,0
1,0.000202574155991897,0
0,2.065213720925385e-06,0
1,0.00011314080620650202,0
0,0.025371147319674492,0
1,2.652805086711396e-09,0
0,3.34296564246257e-40,0
1,0.0003072335966862738,0
0,0.0003174600424245,0
1,1.4827439542841603e-07,0
0,7.711573175583908e-07,0
1,6.344169634076025e-11,0
0,0.0,0
1,0.0015848207985982299,0
0,0.0,0
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
0,2.646739800212026e-28,0
1,1.0,1
0,1.2868368010130757e-20,0
1,1.0,1
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,1.0,1
1,1.0,1
0,5.228468095867039e-21,0
1,1.0,1
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,8.191791290516797e-18,0
1,1.0,1
0,0.8390010595321655,1
1,1.0,1
0,9.060861671731482e-30,0
1,1.0,1
0,6.429495897464221e-06,0
1,1.0,1
0,1.0,1
1,1.0,1
0,1.6491289079369507e-24,0
1,1.0,1
0,0.013674567453563213,0
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
0,3.9475101462195254e-30,0
1,1.0,1
0,1.0,1
1,1.0,1
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,2.382207389352189e-44,0
1,1.0,1
0,1.0,1
1,1.0,1
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,2.9148693680535797e-21,0
1,1.0,1
0,9.813656731694209e-08,0
1,1.0,1
0,0.0,0
1,1.0,1
0,3.115720301118813e-13,0
1,1.0,1
0,1.0,1
1,1.0,1
0,0.0,0
1,1.0,1
0,1.0,1
1,1.0,1
1,1.0,1
1,1.0,1
0,1.6085094556990995e-29,0
1,1.0,1
0,1.0,1
1,2.32309045047549e-13,0
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,8.095865951685591e-39,0
1,1.0,1
0,1.0,1
1,1.0,1
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,5.630432786674078e-10,0
1,1.0,1
0,0.996990442276001,1
1,1.0,1
0,2.4739753994005652e-23,0
1,0.003348834812641144,0
0,3.034719882045879e-22,0
1,1.0,1
0,1.0,1
1,1.0,1
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,3.927291288652817e-16,0
1,1.0,1
0,0.0,0
1,1.0,1
0,0.0,0
1,1.0,1
0,2.0056009107241395e-34,0
1,1.0,1
0,1.0,1
1,1.0,1
0,0.07532555609941483,0
1,1.0,1
0,0.0,0
1,1.0,1
0,7.895195807698884e-41,0
1,0.43088701367378235,0
0,0.0,0
1,1.0,1
0,0.00015587649249937385,0
1,1.0,1
0,4.5375025183762604e-40,0
1,1.0,1
0,8.401810358549255e-10,0
1,1.0,1
0,1.0,1
1,1.0,1
0,0.0,0
1,1.0,1
0,9.436956035615637e-36,0
0,3.334667542098657e-10,0
0,0.9994609951972961,1
0,1.3368682629857844e-21,0
0,0.0,0
0,7.5683751707598e-39,0
0,0.0,0
0,1.732355826569739e-19,0
0,2.155079940699319e-34,0
0,6.635607201736472e-19,0
0,1.0,1
0,5.604654688795563e-06,0
0,0.0,0
0,2.392202851298218e-39,0
0,0.0,0
0,2.1580463110959514e-11,0
0,0.0,0
0,2.011341093677288e-10,0
0,2.1792045945545624e-10,0
0,6.959368278429141e-18,0
0,0.05300235003232956,0
0,1.6551923189451132e-31,0
0,0.0,0
0,1.0962499796818292e-09,0
0,1.082582548406208e-05,0
0,9.454879912849934e-14,0
0,1.0,1
0,8.267773189910162e-16,0
0,0.0,0
0,2.0714415188834937e-15,0
0,2.962058191864924e-37,0
0,5.439434966353158e-24,0
0,0.0,0
0,2.5649847792426654e-36,0
0,0.0,0
0,0.40348732471466064,0
0,1.50427823995632e-31,0
0,1.0,1
0,1.0,1
0,2.5038596618287556e-07,0
0,0.0,0
0,1.0,1
0,0.0,0
0,5.066409812570782e-06,0
0,0.0,0
0,1.0,1
0,1.066628801151172e-22,0
0,0.0,0
0,4.493797678151168e-05,0
0,4.150671520619653e-05,0
0,3.401564678398199e-30,0
0,1.7663469077128234e-28,0
0,0.007216149941086769,0
0,1.6254933471545824e-26,0
0,1.0,1
0,3.617620092377649e-11,0
0,0.0,0
0,0.9999996423721313,1
0,2.7382224957207027e-30,0
0,1.0796500200175559e-39,0
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,1.0,1
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,3.610828258615584e-08,0
0,0.0,0
0,0.9999995231628418,1
0,0.0,0
0,1.2367155072063332e-31,0
0,0.0,0
0,0.0013374079717323184,0
0,0.0,0
0,1.0,1
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,1.1630777253895982e-43,0
0,0.0,0
0,1.0,1
0,0.0,0
0,5.885145020121741e-28,0
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,1.9679782913805563e-28,0
0,0.0,0
0,0.2382384091615677,0
0,0.0,0
0,0.0,0
0,0.0,0
0,2.46566360949276e-17,0
0,0.0,0
0,1.0,1
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,2.5772780673947453e-18,0
0,1.0,1
0,2.4547458181342555e-27,0
0,1.0732885934172653e-13,0
0,0.0,0
0,0.0,0
0,1.401298464324817e-45,0
0,0.0,0
0,4.203895392974451e-45,0
0,0.0,0
0,0.0,0
0,0.9854807257652283,1
0,3.203368289446532e-42,0
0,9.03523253443908e-34,0
0,2.6803631370999416e-34,0
0,0.004543247167021036,0
0,1.3486304405900197e-26,0
0,1.0,1
0,4.637317007990117e-41,0
0,0.0,0
0,1.824509056031365e-22,0
0,0.0,0
0,1.0,1
0,0.0,0
0,1.0,1
0,0.0,0
0,1.0,1
0,0.0,0
0,1.0,1
0,6.191965692639605e-17,0
0,0.0017957284580916166,0
0,0.9927640557289124,1
0,1.0,1
0,0.0,0
0,1.0,1
0,1.6140955239052346e-08,0
0,1.0,1
0,3.652409219512265e-08,0
0,1.0,1
0,0.0,0
0,1.0,1
0,0.0,0
0,4.459911081951223e-22,0
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,3.722053421029159e-08,0
0,1.0,1
0,0.9999314546585083,1
0,3.742845777436157e-39,0
0,0.0,0
0,0.21132564544677734,0
0,1.2008394278950618e-09,0
0,1.0,1
0,1.0,1
0,1.0,1
0,0.0,0
0,9.352120211882968e-23,0
0,4.1870370417876937e-19,0
0,0.0,0
0,0.0,0
0,1.5643455662324061e-38,0
0,4.742119884433831e-15,0
0,0.0,0
0,0.9736461639404297,1
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0011353673180565238,0
0,0.0,0
0,1.0,1
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,4.801545866742891e-25,0
0,0.0,0
0,0.0016995425103232265,0
0,0.0,0
0,0.0,0
0,0.0,0
0,5.538992441794788e-12,0
0,0.0,0
0,1.0,1
0,0.0,0
0,0.0,0
0,0.0,0
0,0.0,0
0,1.0682993990269737e-20,0
0,0.989537239074707,1
0,9.038666772955506e-22,0
0,5.605193857299268e-45,0
0,0.0,0
0,2.519409878982029e-26,0
0,5.9135825576650536e-12,0
0,1.0,1
0,1.491224542937361e-14,0
0,0.0,0
0,6.151903530418251e-29,0
0,0.0,0
0,0.06712131202220917,0
0,3.185796577734144e-31,0
0,0.2614840567111969,0
0,7.517018474345605e-08,0
0,0.34784990549087524,0
0,1.0,1
0,0.9901732206344604,1
0,0.0,0
